model,sort_order,sha256,seq_len,h1_nat,h2_nat,h_bigram_nat,d_h1_nat,d_h2_nat,d_h_bigram_nat,spatial_gap_median,spatial_gap_mean,spatial_gap_p90,seq_face_adj_frac,seq_26_adj_frac,seq_consec_eucl_mean,seq_consec_eucl_median
shapellm_vqvae3d,post_morton,ab61484f508e93df7cd528f141539f5ad64b0134248bb5df690608ad36704f38,1024,4.390197529781375,2.973415408600519,6.15646207148788,0.0,0.0,0.19139895916442384,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,005be82fe0a0f001203edc22891ea9b3e8baf9ddeead3be2c8b60d0954c20ba5,7028,6.025316499463193,5.160030086526408,6.90373100151676,nan,nan,nan,50.0,150.80690546263727,557.0,0.958588302262701,0.9595844599402306,0.03870850216853639,0.015625
our_sparse_sdf_vqvae,post_morton,005be82fe0a0f001203edc22891ea9b3e8baf9ddeead3be2c8b60d0954c20ba5,7028,6.0253164994631,5.160030086526408,7.611331234865641,-9.237055564881302e-14,0.0,0.7076002333488809,5.0,147.96669298686382,251.0,0.46292870357193683,0.8121531236658602,0.028364764911220006,0.02209708691207961
shapellm_vqvae3d,pre_morton,005be82fe0a0f001203edc22891ea9b3e8baf9ddeead3be2c8b60d0954c20ba5,1024,2.8957981157056496,1.4433899466256759,4.124137077620485,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,005be82fe0a0f001203edc22891ea9b3e8baf9ddeead3be2c8b60d0954c20ba5,1024,2.8957981157056487,1.4433899466256759,4.137145573462424,-8.881784197001252e-16,0.0,0.013008495841938306,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,c129f0a16c74c11064234d4a3d4fde73f19c96bb1add7e8fec098bf7bd0ad026,6950,7.527448873606145,6.698388717675726,8.35380936802918,nan,nan,nan,170.0,134.6577466892363,269.0,0.604691322492445,0.6092963016261332,0.08847100185441589,0.015625
our_sparse_sdf_vqvae,post_morton,c129f0a16c74c11064234d4a3d4fde73f19c96bb1add7e8fec098bf7bd0ad026,6950,7.527448873606088,6.698388717675719,8.4050932691607,-5.773159728050814e-14,-7.105427357601002e-15,0.05128390113151937,7.0,126.91817683958976,303.0,0.5192113973233559,0.8579651748453014,0.0266223198267988,0.015625
shapellm_vqvae3d,pre_morton,c129f0a16c74c11064234d4a3d4fde73f19c96bb1add7e8fec098bf7bd0ad026,1024,5.349025496815635,4.332260384531394,6.616606376124393,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,c129f0a16c74c11064234d4a3d4fde73f19c96bb1add7e8fec098bf7bd0ad026,1024,5.349025496815635,4.332260384531394,6.653413620183473,0.0,0.0,0.03680724405908009,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,49988e456b83bb128a492017732cbafde9f33b463a7f1d75b33c301f4dd7612a,3329,7.41846981660415,7.2186458968676535,8.108877137552412,nan,nan,nan,163.0,124.67365423407033,272.0,0.6556490384615384,0.6703725961538461,0.04019835100585965,0.015625
our_sparse_sdf_vqvae,post_morton,49988e456b83bb128a492017732cbafde9f33b463a7f1d75b33c301f4dd7612a,3329,7.418469816604108,7.218645896867652,8.109710247144431,-4.1744385725905886e-14,-1.7763568394002505e-15,0.000833109592019099,11.0,179.59122730688605,519.0,0.4918870192307692,0.8683894230769231,0.025602019669057226,0.02209708691207961
shapellm_vqvae3d,pre_morton,49988e456b83bb128a492017732cbafde9f33b463a7f1d75b33c301f4dd7612a,1024,3.2089213266681957,1.3835591525789026,3.878240196998541,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,49988e456b83bb128a492017732cbafde9f33b463a7f1d75b33c301f4dd7612a,1024,3.208921326668197,1.3835591525789026,4.370422267193957,1.3322676295501878e-15,0.0,0.49218207019541627,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,6d61130a09fc1049f6c4ee1b38b7e3bc0d8116318ac20d12da4aa96207e4cae6,11029,8.216031044302598,8.022911593625158,9.30706141112919,nan,nan,nan,173.0,154.2572401591039,327.0,0.6301233224519405,0.6331157054769677,0.10288103716229095,0.015625
our_sparse_sdf_vqvae,post_morton,6d61130a09fc1049f6c4ee1b38b7e3bc0d8116318ac20d12da4aa96207e4cae6,11029,8.216031044302596,8.022911593625151,9.307941358583655,-1.7763568394002505e-15,-7.105427357601002e-15,0.0008799474544645136,9.0,276.41321786327177,438.0,0.4876677548059485,0.8574537540805223,0.026174765430954157,0.02209708691207961
shapellm_vqvae3d,pre_morton,6d61130a09fc1049f6c4ee1b38b7e3bc0d8116318ac20d12da4aa96207e4cae6,1024,5.614938303654699,4.57286827120387,6.698745031148952,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,6d61130a09fc1049f6c4ee1b38b7e3bc0d8116318ac20d12da4aa96207e4cae6,1024,5.614938303654697,4.57286827120387,6.771876827869934,-1.7763568394002505e-15,0.0,0.07313179672098258,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
